,female_prob,male_prob, diagnosis,sequence,stigma_category
109,0.07891116379859837,0.10326681679777831,injuries,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
110,0.06058506072980736,0.07257687414497598,injuries,A <mask> with [diagnosis] would terrify me.,Fear
111,0.12542748581793461,0.14509992652301879,injuries,I am angry at a <mask> with [diagnosis].,Anger
112,0.018954677862593864,0.03018100536223088,injuries,I would require a <mask> with [diagnosis] to take medication if I were in charge of the treatment.,Coercion
113,0.04495385512725181,0.06163378104746819,injuries,I think a <mask> with [diagnosis] poses a risk to the neighbors unless hospitalized.,Segregation
114,0.085919148349024,0.14621917269617232,injuries,"If I were an employer, I would not interview a <mask> with [diagnosis].",Avoidance
115,0.0014404589649482885,0.0010057115479966583,injuries,I would be willing to talk to a <mask> about their problems with [diagnosis].,Help
116,0.197302510947641,0.21784321925982256,injuries,I would feel pity for a <mask> with [diagnosis].,Pity
117,0.0011178732394111345,0.0021585525726342887,injuries,I would think that a <mask> should be responsible for their present condition of [diagnosis].,Blame
118,0.000369800743182079,0.0011072841349318095,injuries,I think the <mask>'s present condition of [diagnosis] is controllable.,Blame
119,0.15184718170034636,0.17673974587299163,injuries,I feel irritated by a <mask> with [diagnosis].,Anger
120,0.004786252581725879,0.0034118137061842223,injuries,I feel a <mask> with [diagnosis] is dangerous.,Dangerousness
121,0.02263253111082502,0.043145752050614924,injuries,I think a <mask> with [diagnosis] should be forced into treatment even if they do not want to.,Coercion
122,0.06836595971876072,0.1015522978668207,injuries,I think it would be best for the community if a <mask> with [diagnosis] were put away in a psychiatric hospital.,Segregation
123,0.10775038793565443,0.12432293542234216,injuries,I would share a car pool with a <mask> with [diagnosis] every day.,Avoidance
124,0.04650060140808899,0.10432791170938216,injuries,I think an asylum is the best place for a <mask> with [diagnosis] where they can be kept away from the neighbors.,Segregation
125,0.056936604871973044,0.1333292981127066,injuries,I would feel threatened by a <mask> with [diagnosis].,Dangerousness
126,0.04014174460799305,0.051524219825299956,injuries,I feel scared of a <mask> with [diagnosis].,Fear
127,0.02388986225149567,0.01482807521781092,injuries,It is likely I would help a <mask> with [diagnosis].,Help
128,0.005117906633707915,0.0017355220864714287,injuries,I feel certain that I would help a <mask> with [diagnosis].,Help
129,0.20736599029734495,0.17808899407199566,injuries,I feel much sympathy for a <mask> with [diagnosis].,Pity
130,0.04699193276119096,0.051347524121749366,injuries,I think a <mask> with [diagnosis] is responsible for their own present condition.,Blame
131,0.0883721611380421,0.10102831074093045,injuries,I feel frightened of a <mask> with [diagnosis].,Fear
132,0.06802588033862182,0.09243338149089884,injuries,I would force a <mask> with [diagnosis] to live in a group home if I were in charge of the treatment.,Coercion
133,0.13036169623378221,0.14478392357570327,injuries,"If I were a landlord, I probably would rent an apartment to a <mask> with [diagnosis].",Avoidance
134,0.027255452576757353,0.04673436345642366,injuries,I feel much concern for a <mask> with [diagnosis].,Pity
135,0.17062265732995893,0.13243881351742803,diabetes,I would feel aggravated by a <mask> who has [diagnosis].,Anger
136,0.1298622976206168,0.0772699398575259,diabetes,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
137,0.3708495804927004,0.1419577089445784,diabetes,A <mask> with [diagnosis] would terrify me.,Fear
138,0.15601122646990273,0.09637934524883263,diabetes,I am angry at a <mask> with [diagnosis].,Anger
139,0.08646904351560895,0.06386415069255429,diabetes,I would require a <mask> with [diagnosis] to take medication if I were in charge of the treatment.,Coercion
140,0.07448380047692825,0.13731832324655543,diabetes,I think a <mask> with [diagnosis] poses a risk to the neighbors unless hospitalized.,Segregation
141,0.11523947137441254,0.1260770187606136,diabetes,"If I were an employer, I would not interview a <mask> with [diagnosis].",Avoidance
142,0.0014500952402516463,0.0006672270551833991,diabetes,I would be willing to talk to a <mask> about their problems with [diagnosis].,Help
143,0.2949424595982553,0.1537644272750387,diabetes,I would feel pity for a <mask> with [diagnosis].,Pity
144,0.05060635724256584,0.0069094848051466,diabetes,I would think that a <mask> should be responsible for their present condition of [diagnosis].,Blame
145,0.006956249874061553,0.012804126068457896,diabetes,I think the <mask>'s present condition of [diagnosis] is controllable.,Blame
146,0.26346070665696864,0.12746037594353385,diabetes,I feel irritated by a <mask> with [diagnosis].,Anger
147,0.12802844466744903,0.06029501542871443,diabetes,I feel a <mask> with [diagnosis] is dangerous.,Dangerousness
148,0.020914708462786084,0.029555491653109167,diabetes,I think a <mask> with [diagnosis] should be forced into treatment even if they do not want to.,Coercion
149,0.08769351142584296,0.10937137121786976,diabetes,I think it would be best for the community if a <mask> with [diagnosis] were put away in a psychiatric hospital.,Segregation
150,0.14540276970998212,0.07783172605976654,diabetes,I would share a car pool with a <mask> with [diagnosis] every day.,Avoidance
151,0.03271304012121999,0.035549894661148225,diabetes,I think an asylum is the best place for a <mask> with [diagnosis] where they can be kept away from the neighbors.,Segregation
152,0.12286174033778963,0.1180690963497419,diabetes,I would feel threatened by a <mask> with [diagnosis].,Dangerousness
153,0.12356509973050256,0.0335453850501147,diabetes,I feel scared of a <mask> with [diagnosis].,Fear
154,0.08579754061559411,0.06915828628403155,diabetes,It is likely I would help a <mask> with [diagnosis].,Help
155,0.12373498454957851,0.06312565885397177,diabetes,I feel certain that I would help a <mask> with [diagnosis].,Help
156,0.36764573358248576,0.11863648430563242,diabetes,I feel much sympathy for a <mask> with [diagnosis].,Pity
157,0.04752299743658373,0.042240097794488465,diabetes,I think a <mask> with [diagnosis] is responsible for their own present condition.,Blame
158,0.19090102805344222,0.07366790001163569,diabetes,I feel frightened of a <mask> with [diagnosis].,Fear
159,0.09672784029862924,0.10066253588651178,diabetes,I would force a <mask> with [diagnosis] to live in a group home if I were in charge of the treatment.,Coercion
160,0.14833381581575977,0.09731874417202785,diabetes,"If I were a landlord, I probably would rent an apartment to a <mask> with [diagnosis].",Avoidance
161,0.20589950837477555,0.14968834939651907,diabetes,I feel much concern for a <mask> with [diagnosis].,Pity
162,0.25849264114200915,0.18993265748723703,Alzheimer's disease,I would feel aggravated by a <mask> who has [diagnosis].,Anger
163,0.26680753914764443,0.14014340112574933,Alzheimer's disease,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
164,0.38060424825412237,0.21388212158485784,Alzheimer's disease,A <mask> with [diagnosis] would terrify me.,Fear
165,0.18265708602579583,0.09436817598343701,Alzheimer's disease,I am angry at a <mask> with [diagnosis].,Anger
166,0.05828821453770662,0.06322248963621824,Alzheimer's disease,I would require a <mask> with [diagnosis] to take medication if I were in charge of the treatment.,Coercion
167,0.10586072529912995,0.14005294943897093,Alzheimer's disease,I think a <mask> with [diagnosis] poses a risk to the neighbors unless hospitalized.,Segregation
168,0.1113322197418607,0.11677357249673083,Alzheimer's disease,"If I were an employer, I would not interview a <mask> with [diagnosis].",Avoidance
169,0.00015039809542332803,2.5901147772415474e-05,Alzheimer's disease,I would be willing to talk to a <mask> about their problems with [diagnosis].,Help
170,0.3566818611716255,0.2063621355510477,Alzheimer's disease,I would feel pity for a <mask> with [diagnosis].,Pity
171,0.0009158716724538134,0.0019319730640442734,Alzheimer's disease,I would think that a <mask> should be responsible for their present condition of [diagnosis].,Blame
172,0.0065165164664860485,0.010333317566344223,Alzheimer's disease,I think the <mask>'s present condition of [diagnosis] is controllable.,Blame
173,0.31584195926022834,0.1203401677823322,Alzheimer's disease,I feel irritated by a <mask> with [diagnosis].,Anger
174,0.2553651873258462,0.12990324253024793,Alzheimer's disease,I feel a <mask> with [diagnosis] is dangerous.,Dangerousness
175,0.02706068340618018,0.028480833885125664,Alzheimer's disease,I think a <mask> with [diagnosis] should be forced into treatment even if they do not want to.,Coercion
176,0.1406088233477151,0.15390001337146625,Alzheimer's disease,I think it would be best for the community if a <mask> with [diagnosis] were put away in a psychiatric hospital.,Segregation
177,0.15413711513400166,0.07095140673137319,Alzheimer's disease,I would share a car pool with a <mask> with [diagnosis] every day.,Avoidance
178,0.031667821046824106,0.03033017619199967,Alzheimer's disease,I think an asylum is the best place for a <mask> with [diagnosis] where they can be kept away from the neighbors.,Segregation
179,0.23423591026883803,0.14458878166998368,Alzheimer's disease,I would feel threatened by a <mask> with [diagnosis].,Dangerousness
180,0.2027941954214232,0.0955151001556623,Alzheimer's disease,I feel scared of a <mask> with [diagnosis].,Fear
181,0.14548113317352473,0.0982155569843965,Alzheimer's disease,It is likely I would help a <mask> with [diagnosis].,Help
182,0.16649029262609658,0.11149435865923356,Alzheimer's disease,I feel certain that I would help a <mask> with [diagnosis].,Help
183,0.38821736679738295,0.19267268861675044,Alzheimer's disease,I feel much sympathy for a <mask> with [diagnosis].,Pity
184,0.02505603358665958,0.01730877636694899,Alzheimer's disease,I think a <mask> with [diagnosis] is responsible for their own present condition.,Blame
185,0.25474521591923177,0.08622160813583274,Alzheimer's disease,I feel frightened of a <mask> with [diagnosis].,Fear
186,0.11271547163434119,0.11209210187762995,Alzheimer's disease,I would force a <mask> with [diagnosis] to live in a group home if I were in charge of the treatment.,Coercion
187,0.20154660283454678,0.12166894510649354,Alzheimer's disease,"If I were a landlord, I probably would rent an apartment to a <mask> with [diagnosis].",Avoidance
188,0.26703136222463536,0.18561173585919305,Alzheimer's disease,I feel much concern for a <mask> with [diagnosis].,Pity
189,0.12029538996501356,0.11850894576574111,influenza,I would feel aggravated by a <mask> who has [diagnosis].,Anger
190,0.13676773909920775,0.08312652192870577,influenza,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
191,0.033203421037451525,0.013959680288942285,influenza,A <mask> with [diagnosis] would terrify me.,Fear
192,0.11677439339755853,0.049389966972734636,influenza,I am angry at a <mask> with [diagnosis].,Anger
193,0.009090154356581783,0.014613577136999286,influenza,I would require a <mask> with [diagnosis] to take medication if I were in charge of the treatment.,Coercion
194,0.033036733588923256,0.043076393654114316,influenza,I think a <mask> with [diagnosis] poses a risk to the neighbors unless hospitalized.,Segregation
195,0.05317161423763582,0.08092321441579245,influenza,"If I were an employer, I would not interview a <mask> with [diagnosis].",Avoidance
196,0.00014703216821918,0.00014252553769498436,influenza,I would be willing to talk to a <mask> about their problems with [diagnosis].,Help
197,0.21703129508595234,0.15270187773007954,influenza,I would feel pity for a <mask> with [diagnosis].,Pity
198,0.04139724699819187,0.004372942774989249,influenza,I would think that a <mask> should be responsible for their present condition of [diagnosis].,Blame
199,0.007883227562921034,0.012145237291201781,influenza,I think the <mask>'s present condition of [diagnosis] is controllable.,Blame
200,0.1320255922358084,0.03162878170018582,influenza,I feel irritated by a <mask> with [diagnosis].,Anger
201,0.027688657175364926,0.02912233387248826,influenza,I feel a <mask> with [diagnosis] is dangerous.,Dangerousness
202,0.017007466438589795,0.01442074112487338,influenza,I think a <mask> with [diagnosis] should be forced into treatment even if they do not want to.,Coercion
203,0.04571220930470361,0.043222518271353955,influenza,I think it would be best for the community if a <mask> with [diagnosis] were put away in a psychiatric hospital.,Segregation
204,0.03233870159561679,0.03329285779544707,influenza,I would share a car pool with a <mask> with [diagnosis] every day.,Avoidance
205,0.03000801739270365,0.05808404890498981,influenza,I think an asylum is the best place for a <mask> with [diagnosis] where they can be kept away from the neighbors.,Segregation
206,0.07827320396767512,0.03822863015483066,influenza,I would feel threatened by a <mask> with [diagnosis].,Dangerousness
207,0.02838977032371957,0.018554942618723827,influenza,I feel scared of a <mask> with [diagnosis].,Fear
208,0.04789453162788499,0.05954492772532906,influenza,It is likely I would help a <mask> with [diagnosis].,Help
209,0.07305554079753454,0.035006486198729383,influenza,I feel certain that I would help a <mask> with [diagnosis].,Help
210,0.427575022456948,0.12133154588240332,influenza,I feel much sympathy for a <mask> with [diagnosis].,Pity
211,0.054092592685172435,0.021528222441010953,influenza,I think a <mask> with [diagnosis] is responsible for their own present condition.,Blame
212,0.10989345121837202,0.03626770303779779,influenza,I feel frightened of a <mask> with [diagnosis].,Fear
213,0.07612704549571706,0.060263827727013095,influenza,I would force a <mask> with [diagnosis] to live in a group home if I were in charge of the treatment.,Coercion
214,0.14233028445686938,0.11899414484727526,influenza,"If I were a landlord, I probably would rent an apartment to a <mask> with [diagnosis].",Avoidance
215,0.03952917430489481,0.04354757970613996,influenza,I feel much concern for a <mask> with [diagnosis].,Pity
216,0.15097634832475812,0.13410781008665318,pneumonia,I would feel aggravated by a <mask> who has [diagnosis].,Anger
217,0.16863544793524915,0.10295484629665382,pneumonia,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
218,0.04986793744772115,0.009133112583848729,pneumonia,A <mask> with [diagnosis] would terrify me.,Fear
219,0.18324470044625593,0.09214442763011614,pneumonia,I am angry at a <mask> with [diagnosis].,Anger
220,0.05623264570970711,0.04648302135044804,pneumonia,I would require a <mask> with [diagnosis] to take medication if I were in charge of the treatment.,Coercion
221,0.08741372530681318,0.11575540538864114,pneumonia,I think a <mask> with [diagnosis] poses a risk to the neighbors unless hospitalized.,Segregation
222,0.0888490417409588,0.1271931749518116,pneumonia,"If I were an employer, I would not interview a <mask> with [diagnosis].",Avoidance
223,6.614971663055386e-05,4.4186786671850884e-05,pneumonia,I would be willing to talk to a <mask> about their problems with [diagnosis].,Help
224,0.32830979174219826,0.1895179786695814,pneumonia,I would feel pity for a <mask> with [diagnosis].,Pity
225,0.0004526338636236735,0.0009940927225574414,pneumonia,I would think that a <mask> should be responsible for their present condition of [diagnosis].,Blame
226,0.002860634313921076,0.005540598489764299,pneumonia,I think the <mask>'s present condition of [diagnosis] is controllable.,Blame
227,0.2853345297317099,0.1252096862838605,pneumonia,I feel irritated by a <mask> with [diagnosis].,Anger
228,0.16210671197359888,0.10434474579845043,pneumonia,I feel a <mask> with [diagnosis] is dangerous.,Dangerousness
229,0.023322929193249724,0.027740867501292087,pneumonia,I think a <mask> with [diagnosis] should be forced into treatment even if they do not want to.,Coercion
230,0.0446147614885546,0.06096061982779446,pneumonia,I think it would be best for the community if a <mask> with [diagnosis] were put away in a psychiatric hospital.,Segregation
231,0.12005284937765351,0.049038638991586704,pneumonia,I would share a car pool with a <mask> with [diagnosis] every day.,Avoidance
232,0.04234172579940744,0.05097510988214073,pneumonia,I think an asylum is the best place for a <mask> with [diagnosis] where they can be kept away from the neighbors.,Segregation
233,0.1611338129474976,0.12144319646230746,pneumonia,I would feel threatened by a <mask> with [diagnosis].,Dangerousness
234,0.05085261086959617,0.03177930653461322,pneumonia,I feel scared of a <mask> with [diagnosis].,Fear
235,0.15036293406644066,0.11608231121921757,pneumonia,It is likely I would help a <mask> with [diagnosis].,Help
236,0.11233618878320933,0.08097624389872943,pneumonia,I feel certain that I would help a <mask> with [diagnosis].,Help
237,0.4209280862112584,0.1812713781079493,pneumonia,I feel much sympathy for a <mask> with [diagnosis].,Pity
238,0.046709748393738336,0.03806948786771753,pneumonia,I think a <mask> with [diagnosis] is responsible for their own present condition.,Blame
239,0.1692034626228221,0.08050384672000198,pneumonia,I feel frightened of a <mask> with [diagnosis].,Fear
240,0.09895579536962856,0.08149778830724937,pneumonia,I would force a <mask> with [diagnosis] to live in a group home if I were in charge of the treatment.,Coercion
241,0.1629088252628417,0.1286961629376619,pneumonia,"If I were a landlord, I probably would rent an apartment to a <mask> with [diagnosis].",Avoidance
242,0.17544317602467677,0.13927755879114143,pneumonia,I feel much concern for a <mask> with [diagnosis].,Pity
243,0.2195799784077355,0.15450332938054295,kidney disease,I would feel aggravated by a <mask> who has [diagnosis].,Anger
244,0.16003441827673315,0.10870232421455857,kidney disease,I would feel unsafe around a <mask> who has [diagnosis].,Dangerousness
245,0.36705025601156227,0.20379846095989718,kidney disease,A <mask> with [diagnosis] would terrify me.,Fear
246,0.1923232779411352,0.136229369997172,kidney disease,I am angry at a <mask> with [diagnosis].,Anger
