

NRC Optimism--Pessimism Association Lexicon
(OPAL)
Version 0.1
1 June 2013
Copyright (C) 2011 National Research Council Canada (NRC)
Contact: Saif Mohammad (saif.mohammad@nrc-cnrc.gc.ca)

1. This copy of the NRC Optimism--Pessimism Association Lexicon is to
be used for research purposes only.  Please contact NRC if interested 
in a commercial license.

2. Do not redistribute the NRC Emotion Lexicon. Please refer
interested parties to Saif Mohammad (saif.mohammad@nrc-cnrc.gc.ca).

.......................................................................

OPAL
----
The OPAL is a list of terms and their associations with optimism and pessimism. 
The lexicon was created automatically from about 140,000 tweets that had
at least one of the following hashtags: #optimism, #optimistic, #pessimism,
and #pessimistic. It may be noted that close to 120,000 tweets pertained
to optimism and only 20,000 pertained to pessimism.

Positive scores indicate association with optimism, whereas negative scores
indicate association with pessimism. The terms with scores close to 0
(on either side) are realtively weak indicators of optimism--pessimism
and can be ignored in certain applications.

.......................................................................

The list below is for bigrams.

bigram	score	NumberOfTimesCooccuredWithOptimism	NumberOfTimesCooccuredWithPessimism
my car	4.223	73	0
up from	4.223	73	0
one #optimistic	4.209	72	0
friday .	4.195	71	0
lol #optimism	4.181	70	0
full #optimistic	4.181	70	0
best out	4.167	69	0
tomorrow #optimism	4.152	68	0
happen #optimistic	4.152	68	0
back on	4.137	67	0
only good	4.137	67	0
hoping i	4.122	66	0
year #optimism	4.122	66	0
feeling good	4.107	65	0
#positivity #optimism	4.076	63	0
let it	4.076	63	0
can still	4.076	63	0
side i	4.076	63	0
weekend #optimistic	4.06	62	0
the big	4.06	62	0
season #optimistic	4.044	61	0
great things	4.027	60	0
can win	4.027	60	0
stay #optimistic	4.027	60	0
#blessed #optimistic	4.01	59	0
week #optimism	4.01	59	0
on friday	4.01	59	0
new beginning	4.01	59	0
bad #optimistic	3.993	58	0
hope tomorrow	3.993	58	0
just hope	3.993	58	0
lot better	3.993	58	0
maybe if	3.976	57	0
win #optimistic	3.976	57	0
great week	3.958	56	0
better from	3.958	56	0
go up	3.958	56	0
keep my	3.958	56	0
good #optimism	3.958	56	0
and hopefully	3.958	56	0
things #optimistic	3.958	56	0
brand new	3.958	56	0
work #optimistic	3.94	55	0
that everything	3.94	55	0
#hope #optimism	3.94	55	0
best day	3.94	55	0
be awesome	3.94	55	0
#optimism #positivity	3.94	55	0
today a	3.922	54	0
least my	3.922	54	0
#optimistic #excited	3.922	54	0
shall be	3.922	54	0
life #optimism	3.922	54	0
again #optimistic	3.903	53	0
feeling a	3.903	53	0
fall into	3.903	53	0
to smile	3.884	52	0
goes well	3.884	52	0
maybe they	3.884	52	0
hoping it	3.865	51	0
night !	3.865	51	0
well on	3.865	51	0
new week	3.865	51	0
gotta keep	3.865	51	0
maybe you	3.845	50	0
night #optimistic	3.845	50	0
what we	3.845	50	0
better tomorrow	3.845	50	0
working on	3.825	49	0
#optimistic #glasshalffull	3.825	49	0
rock bottom	3.825	49	0
better :	3.825	49	0
an a	3.825	49	0
atleast i	3.825	49	0
hey at	3.804	48	0
opportunity to	3.804	48	0
turn it	3.804	48	0
still got	3.804	48	0
way #optimistic	3.804	48	0
will help	3.783	47	0
on #optimistic	3.783	47	0
bring it	3.762	46	0
not too	3.762	46	0
here #optimistic	3.762	46	0
maybe he	3.762	46	0
praying for	3.762	46	0
up #optimism	3.762	46	0
tomorrow ?	3.762	46	0
without a	3.74	45	0
worse #optimistic	3.74	45	0
happy to	3.74	45	0
on top	3.74	45	0
summer #optimistic	3.74	45	0
though #optimism	3.74	45	0
my goal	3.74	45	0
happy #optimistic	3.74	45	0
days #optimistic	3.74	45	0
to pay	3.718	44	0
end #optimistic	3.718	44	0
hope my	3.718	44	0
time #optimism	3.695	43	0
so maybe	3.695	43	0
#optimistic #blessed	3.695	43	0
start the	3.695	43	0
now #optimism	3.695	43	0
this #optimistic	3.695	43	0
new start	3.695	43	0
day (	3.695	43	0
to those	3.695	43	0
but hopefully	3.695	43	0
morning #optimistic	3.671	42	0
me #optimism	3.671	42	0
forward .	3.671	42	0
too short	3.671	42	0
#optimism #glasshalffull	3.671	42	0
telling myself	3.671	42	0
moving forward	3.671	42	0
and move	3.671	42	0
#optimistic #fingerscrossed	3.671	42	0
what tomorrow	3.671	42	0
best #optimistic	3.647	41	0
past ,	3.647	41	0
2013 !	3.647	41	0
friday #optimistic	3.647	41	0
#wishfulthinking #optimistic	3.647	41	0
positive side	3.647	41	0
could always	3.647	41	0
and he	3.647	41	0
change #optimistic	3.622	40	0
soon #optimistic	3.622	40	0
thank god	3.622	40	0
taking a	3.622	40	0
be ok	3.622	40	0
too #optimistic	3.597	39	0
everyday is	3.597	39	0
spring break	3.597	39	0
move forward	3.597	39	0
beginning .	3.597	39	0
year for	3.597	39	0
summer !	3.597	39	0
hopefully my	3.597	39	0
#optimism #hope	3.597	39	0
of days	3.571	38	0
than today	3.571	38	0
made a	3.571	38	0
win this	3.571	38	0
and keep	3.571	38	0
despite the	3.571	38	0
you gotta	3.571	38	0
keeping my	3.571	38	0
maybe tomorrow	3.571	38	0
back #optimistic	3.571	38	0
my alarm	3.571	38	0
gonna win	3.571	38	0
better days	3.545	37	0
situation #optimistic	3.545	37	0
short to	3.545	37	0
great #optimistic	3.545	37	0
done !	3.545	37	0
and still	3.545	37	0
been in	3.545	37	0
next couple	3.517	36	0
positive #optimistic	3.517	36	0
around #optimistic	3.517	36	0
well #optimistic	3.517	36	0
make your	3.517	36	0
ve done	3.517	36	0
now but	3.517	36	0
that #optimistic	3.517	36	0
work done	3.517	36	0
change is	3.517	36	0
#determined #optimistic	3.517	36	0
found a	3.517	36	0
choose to	3.517	36	0
something new	3.517	36	0
there #optimistic	3.517	36	0
sun will	3.517	36	0
sleep in	3.489	35	0
love that	3.489	35	0
for good	3.489	35	0
the beach	3.489	35	0
keep me	3.489	35	0
hopefully we	3.489	35	0
game #optimistic	3.489	35	0
happen for	3.489	35	0
yeah .	3.489	35	0
maybe next	3.489	35	0
this works	3.489	35	0
off #optimistic	3.489	35	0
and try	3.489	35	0
least its	3.46	34	0
on and	3.46	34	0
feeling #optimistic	3.46	34	0
my work	3.46	34	0
it around	3.46	34	0
break !	3.46	34	0
days i	3.46	34	0
keep telling	3.46	34	0
go ,	3.46	34	0
gonna let	3.46	34	0
#optimistic #quote	3.46	34	0
me through	3.46	34	0
smile and	3.46	34	0
yet #optimistic	3.431	33	0
the happiest	3.431	33	0
christmas .	3.431	33	0
always tomorrow	3.431	33	0
things work	3.431	33	0
positive note	3.431	33	0
#optimistic #wishfulthinking	3.431	33	0
will pay	3.431	33	0
got some	3.431	33	0
you #optimism	3.431	33	0
tomorrow night	3.431	33	0
head to	3.431	33	0
you #optimistic	3.431	33	0
manila !	3.431	33	0
more day	3.431	33	0
worth a	3.431	33	0
haha #optimism	3.431	33	0
ever !	3.4	32	0
learn from	3.4	32	0
for work	3.4	32	0
out #optimism	3.4	32	0
is up	3.4	32	0
maybe today	3.4	32	0
tonight #optimism	3.4	32	0
that can	3.4	32	0
matter of	3.4	32	0
them !	3.4	32	0
close to	3.4	32	0
be productive	3.4	32	0
proud of	3.4	32	0
who wait	3.4	32	0
grateful for	3.4	32	0
but things	3.4	32	0
step closer	3.4	32	0
best to	3.4	32	0
us !	3.368	31	0
do better	3.368	31	0
hope they	3.368	31	0
to hoping	3.368	31	0
start #optimistic	3.368	31	0
#fingerscrossed #optimistic	3.368	31	0
tho !	3.368	31	0
feeling better	3.368	31	0
is friday	3.368	31	0
happiness .	3.368	31	0
plan to	3.368	31	0
dwell on	3.368	31	0
be alive	3.368	31	0
next weekend	3.368	31	0
around for	3.368	31	0
hoping tomorrow	3.368	31	0
#optimistic #determined	3.368	31	0
friends and	3.368	31	0
might actually	3.368	31	0
am prepared	3.368	31	0
an opportunity	3.368	31	0
for your	3.368	31	0
no time	3.368	31	0
#optimistic #lfc	3.368	31	0
note ,	3.336	30	0
early ,	3.336	30	0
awesome day	3.336	30	0
life goes	3.336	30	0
disraeli #truth	3.336	30	0
won the	3.336	30	0
your heart	3.336	30	0
hope #optimistic	3.336	30	0
#truth #hopeful	3.336	30	0
in #optimistic	3.336	30	0
next one	3.336	30	0
only 4	3.336	30	0
put my	3.336	30	0
be different	3.336	30	0
to open	3.336	30	0
and win	3.336	30	0
that in	3.336	30	0
all #optimistic	3.336	30	0
benjamin disraeli	3.336	30	0
for better	3.336	30	0
applied for	3.336	30	0
and let	3.302	29	0
roses .	3.302	29	0
let go	3.302	29	0
have time	3.302	29	0
praying that	3.302	29	0
place #optimistic	3.302	29	0
amazing day	3.302	29	0
least if	3.302	29	0
gotta make	3.302	29	0
positive thinking	3.302	29	0
will pass	3.302	29	0
win #optimism	3.302	29	0
come #optimistic	3.302	29	0
week :	3.302	29	0
hope everything	3.302	29	0
everything works	3.302	29	0
while .	3.302	29	0
#positivethinking #optimistic	3.302	29	0
do !	3.302	29	0
least there	3.302	29	0
plan for	3.302	29	0
only 5	3.302	29	0
have more	3.302	29	0
side #optimistic	3.302	29	0
#brightside #optimistic	3.302	29	0
wait until	3.302	29	0
being single	3.267	28	0
so better	3.267	28	0
this rain	3.267	28	0
knows what	3.267	28	0
life can	3.267	28	0
#optimism #faith	3.267	28	0
times ,	3.267	28	0
closes ,	3.267	28	0
only 3	3.267	28	0
reason ,	3.267	28	0
is almost	3.267	28	0
potential to	3.267	28	0
it right	3.267	28	0
one :	3.267	28	0
#brightside #optimism	3.267	28	0
open .	3.267	28	0
back !	3.267	28	0
#faith #optimism	3.267	28	0
it the	3.267	28	0
it happen	3.267	28	0
why it	3.267	28	0
good vibes	3.267	28	0
to some	3.231	27	0
pass .	3.231	27	0
what 2013	3.231	27	0
on all	3.231	27	0
bad life	3.231	27	0
so this	3.231	27	0
not been	3.231	27	0
best year	3.231	27	0
win 3	3.231	27	0
today should	3.231	27	0
god '	3.231	27	0
about tomorrow	3.231	27	0
full #optimism	3.231	27	0
positive thoughts	3.231	27	0
smile because	3.231	27	0
exam #optimistic	3.231	27	0
time you	3.231	27	0
good weekend	3.231	27	0
out a	3.231	27	0
well this	3.231	27	0
mood #optimistic	3.231	27	0
finish my	3.231	27	0
down #optimistic	3.231	27	0
some new	3.231	27	0
is finally	3.231	27	0
being #optimistic	3.231	27	0
days #optimism	3.231	27	0
better in	3.231	27	0
one #optimism	3.231	27	0
tho #optimistic	3.193	26	0
my weekend	3.193	26	0
bit better	3.193	26	0
tomorrows a	3.193	26	0
#optimistic #happytweet	3.193	26	0
saw a	3.193	26	0
in disguise	3.193	26	0
way through	3.193	26	0
brings .	3.193	26	0
it happened	3.193	26	0
worse #optimism	3.193	26	0
something wonderful	3.193	26	0
this goes	3.193	26	0
tomorrow should	3.193	26	0
#optimism #productivity	3.193	26	0
best days	3.193	26	0
great night	3.193	26	0
im still	3.193	26	0
euro millions	3.193	26	0
now :	3.193	26	0
again #optimism	3.193	26	0
#thankful #optimistic	3.193	26	0
semester !	3.193	26	0
of class	3.193	26	0
school #optimistic	3.193	26	0
up :	3.193	26	0
everything #optimistic	3.193	26	0
tomorrow brings	3.193	26	0
excited !	3.154	25	0
look to	3.154	25	0
wearing shorts	3.154	25	0
mate !	3.154	25	0
least he	3.154	25	0
good note	3.154	25	0
me one	3.154	25	0
good job	3.154	25	0
chin up	3.154	25	0
day a	3.154	25	0
hat trick	3.154	25	0
flip flops	3.154	25	0
been this	3.154	25	0
happen #optimism	3.154	25	0
on monday	3.154	25	0
god will	3.154	25	0
right direction	3.154	25	0
#optimistic #faith	3.154	25	0
means the	3.154	25	0
the negativity	3.154	25	0
money .	3.154	25	0
an ice	3.154	25	0
set for	3.154	25	0
man !	3.154	25	0
leave the	3.154	25	0
go #optimistic	3.154	25	0
am determined	3.154	25	0
job !	3.154	25	0
glad that	3.113	24	0
them #optimistic	3.113	24	0
guess #optimistic	3.113	24	0
of happiness	3.113	24	0
plan .	3.113	24	0
not all	3.113	24	0
im sure	3.113	24	0
day on	3.113	24	0
try again	3.113	24	0
night with	3.113	24	0
excuse to	3.113	24	0
anything but	3.113	24	0
the library	3.113	24	0
in order	3.113	24	0
new things	3.113	24	0
we didn	3.113	24	0
shorts and	3.113	24	0
so there	3.113	24	0
#happytweet #optimistic	3.113	24	0
be easy	3.113	24	0
is perfect	3.113	24	0
the sooner	3.113	24	0
about time	3.113	24	0
my job	3.113	24	0
few more	3.113	24	0
only 2	3.113	24	0
hoping things	3.113	24	0
so ready	3.113	24	0
night will	3.113	24	0
cream van	3.113	24	0
finals week	3.113	24	0
#optimistic #hope	3.113	24	0
coming back	3.113	24	0
better though	3.113	24	0
#hope #optimistic	3.113	24	0
way #optimism	3.113	24	0
bring #optimistic	3.113	24	0
my week	3.113	24	0
maybe not	3.113	24	0
it again	3.113	24	0
holds #optimistic	3.071	23	0
hope everyone	3.071	23	0
crossed for	3.071	23	0
been worse	3.071	23	0
gonna start	3.071	23	0
weekend #optimism	3.071	23	0
hey .	3.071	23	0
has not	3.071	23	0
far #optimistic	3.071	23	0
god for	3.071	23	0
and hoping	3.071	23	0
trip to	3.071	23	0
this job	3.071	23	0
started off	3.071	23	0
be grateful	3.071	23	0
lets make	3.071	23	0
people #optimistic	3.071	23	0
to #optimistic	3.071	23	0
new beginnings	3.071	23	0
can pull	3.071	23	0
something better	3.071	23	0
early and	3.071	23	0
made the	3.071	23	0
exam !	3.071	23	0
and things	3.071	23	0
hope all	3.071	23	0
interesting .	3.071	23	0
in hope	3.071	23	0
re in	3.071	23	0
chance #optimistic	3.071	23	0
wonderful is	3.071	23	0
me but	3.071	23	0
more #optimistic	3.071	23	0
around !	3.071	23	0
and smile	3.071	23	0
2013 #optimistic	3.071	23	0
what today	3.071	23	0
#positive #optimism	3.071	23	0
hell of	3.071	23	0
maybe things	3.071	23	0
late to	3.071	23	0
think things	3.071	23	0
ah well	3.071	23	0
hope its	3.071	23	0
over #optimistic	3.071	23	0
#motivated #optimistic	3.071	23	0
keep moving	3.071	23	0
guy .	3.027	22	0
do have	3.027	22	0
them #optimism	3.027	22	0
too #optimism	3.027	22	0
reason #optimistic	3.027	22	0
my next	3.027	22	0
best in	3.027	22	0
goes .	3.027	22	0
who you	3.027	22	0
best friend	3.027	22	0
busy day	3.027	22	0
fine !	3.027	22	0
win in	3.027	22	0
moving on	3.027	22	0
today for	3.027	22	0
two hours	3.027	22	0
is done	3.027	22	0
me some	3.027	22	0
all work	3.027	22	0
cool .	3.027	22	0
was great	3.027	22	0
feeling the	3.027	22	0
positive energy	3.027	22	0
but atleast	3.027	22	0
great news	3.027	22	0
ability to	3.027	22	0
bigger and	3.027	22	0
rain #optimistic	3.027	22	0
#optimism #positive	3.027	22	0
good is	3.027	22	0
the grass	3.027	22	0
ups and	3.027	22	0
it one	3.027	22	0
birthday !	3.027	22	0
after my	3.027	22	0
back #optimism	3.027	22	0
will hopefully	3.027	22	0
but everything	3.027	22	0
we make	3.027	22	0
together #optimistic	3.027	22	0
not let	3.027	22	0
how about	3.027	22	0
not doing	3.027	22	0
new day	2.987	446	2
do #optimistic	2.98	21	0
always good	2.98	21	0
turn this	2.98	21	0
the brightside	2.98	21	0
ever had	2.98	21	0
for #optimistic	2.98	21	0
have 2	2.98	21	0
try my	2.98	21	0
month #optimistic	2.98	21	0
but happy	2.98	21	0
lot .	2.98	21	0
this feeling	2.98	21	0
then #optimistic	2.98	21	0
maybe ,	2.98	21	0
them ,	2.98	21	0
future #optimism	2.98	21	0
looking back	2.98	21	0
least now	2.98	21	0
are good	2.98	21	0
weren '	2.98	21	0
fine ,	2.98	21	0
finish the	2.98	21	0
hopefully they	2.98	21	0
to prove	2.98	21	0
test #optimistic	2.98	21	0
life so	2.98	21	0
day than	2.98	21	0
to finally	2.98	21	0
just bought	2.98	21	0
while you	2.98	21	0
today so	2.98	21	0
everything else	2.98	21	0
that doesn	2.98	21	0
ahead !	2.98	21	0
do in	2.98	21	0
much for	2.98	21	0
alot of	2.98	21	0
tomorrow can	2.98	21	0
to forget	2.98	21	0
the darkest	2.98	21	0
#faith #optimistic	2.98	21	0
come together	2.98	21	0
done today	2.98	21	0
hours !	2.98	21	0
think today	2.98	21	0
good on	2.98	21	0
in less	2.98	21	0
yeah but	2.98	21	0
start fresh	2.98	21	0
hahaha #optimistic	2.98	21	0
empty #optimistic	2.98	21	0
shit #optimistic	2.98	21	0
of myself	2.932	20	0
#life #optimism	2.932	20	0
beauty in	2.932	20	0
call it	2.932	20	0
turning around	2.932	20	0
almost over	2.932	20	0
though it	2.932	20	0
can take	2.932	20	0
year so	2.932	20	0
good ones	2.932	20	0
sleep !	2.932	20	0
10 minutes	2.932	20	0
have another	2.932	20	0
and give	2.932	20	0
find that	2.932	20	0
to improve	2.932	20	0
an all	2.932	20	0
not one	2.932	20	0
good though	2.932	20	0
pray that	2.932	20	0
done #optimistic	2.932	20	0
another one	2.932	20	0
left #optimistic	2.932	20	0
it work	2.932	20	0
year in	2.932	20	0
cry because	2.932	20	0
at 6	2.932	20	0
the present	2.932	20	0
on its	2.932	20	0
its okay	2.932	20	0
me get	2.932	20	0
#optimism #happy	2.932	20	0
that 2013	2.932	20	0
not bad	2.932	20	0
upside to	2.932	20	0
get another	2.932	20	0
better soon	2.932	20	0
still good	2.932	20	0
will give	2.932	20	0
your best	2.932	20	0
and people	2.932	20	0
goes as	2.932	20	0
score first	2.932	20	0
else is	2.932	20	0
up there	2.932	20	0
just made	2.932	20	0
still hoping	2.932	20	0
#optimistic #love	2.932	20	0
forever available	2.932	20	0
night was	2.932	20	0
tired ,	2.932	20	0
right #optimistic	2.932	20	0
hey i	2.932	20	0
ever been	2.932	20	0
league #optimistic	2.932	20	0
really looking	2.932	20	0
great one	2.932	20	0
something positive	2.932	20	0
the upside	2.932	20	0
in with	2.932	20	0
lose some	2.932	20	0
#optimism #happiness	2.932	20	0
up i	2.932	20	0
and #optimistic	2.932	20	0
left in	2.932	20	0
on some	2.932	20	0
least a	2.932	20	0
bad #optimism	2.932	20	0
can turn	2.932	20	0
cup of	2.932	20	0
not letting	2.932	20	0
phone .	2.932	20	0
sad about	2.932	20	0
aim for	2.932	20	0
high .	2.932	20	0
keep up	2.932	20	0
was thinking	2.932	20	0
from work	2.932	20	0
#optimistic #believe	2.932	20	0
try .	2.932	20	0
worry .	2.932	20	0
still waiting	2.932	20	0
10 .	2.932	20	0
side ,	2.904	215	1
we beat	2.881	19	0
ll look	2.881	19	0
goal is	2.881	19	0
way they	2.881	19	0
all have	2.881	19	0
giving me	2.881	19	0
to become	2.881	19	0
couple days	2.881	19	0
this work	2.881	19	0
smile #optimistic	2.881	19	0
night is	2.881	19	0
are better	2.881	19	0
that test	2.881	19	0
to class	2.881	19	0
after i	2.881	19	0
have lost	2.881	19	0
always something	2.881	19	0
maybe that	2.881	19	0
get off	2.881	19	0
all things	2.881	19	0
looked at	2.881	19	0
day though	2.881	19	0
but #optimistic	2.881	19	0
another good	2.881	19	0
the ones	2.881	19	0
man i	2.881	19	0
all works	2.881	19	0
thing #optimistic	2.881	19	0
work hard	2.881	19	0
be for	2.881	19	0
nothing else	2.881	19	0
go of	2.881	19	0
least that	2.881	19	0
good i	2.881	19	0
open #optimistic	2.881	19	0
ll work	2.881	19	0
and stay	2.881	19	0
sun cream	2.881	19	0
world #optimistic	2.881	19	0
still time	2.881	19	0
is shining	2.881	19	0
an interview	2.881	19	0
the universe	2.881	19	0
#praying #optimistic	2.881	19	0
heading to	2.881	19	0
from your	2.881	19	0
place to	2.881	19	0
better one	2.881	19	0
good sign	2.881	19	0
positive #optimism	2.881	19	0
you like	2.881	19	0
is you	2.881	19	0
live a	2.881	19	0
what ,	2.881	19	0
will stay	2.881	19	0
bottom is	2.881	19	0
so hopefully	2.881	19	0
minutes to	2.881	19	0
score a	2.881	19	0
you must	2.881	19	0
perfect day	2.881	19	0
setting my	2.881	19	0
of classes	2.881	19	0
bad situation	2.881	19	0
christmas shopping	2.881	19	0
#optimistic #2013	2.881	19	0
love being	2.827	18	0
turn the	2.827	18	0
christmas #optimistic	2.827	18	0
it done	2.827	18	0
my entire	2.827	18	0
things #optimism	2.827	18	0
#optimistic #life	2.827	18	0
need .	2.827	18	0
hopeful for	2.827	18	0
but who	2.827	18	0
news today	2.827	18	0
finally be	2.827	18	0
sure .	2.827	18	0
order to	2.827	18	0
have gone	2.827	18	0
yet #optimism	2.827	18	0
happy :	2.827	18	0
in no	2.827	18	0
the hospital	2.827	18	0
tonight was	2.827	18	0
an interesting	2.827	18	0
finding the	2.827	18	0
easy ,	2.827	18	0
myself #optimistic	2.827	18	0
yesterday #optimistic	2.827	18	0
ended up	2.827	18	0
and for	2.827	18	0
just do	2.827	18	0
every storm	2.827	18	0
to #optimism	2.827	18	0
happy #optimism	2.827	18	0
not !	2.827	18	0
bit .	2.827	18	0
far !	2.827	18	0
season to	2.827	18	0
be anything	2.827	18	0
will keep	2.827	18	0
going in	2.827	18	0
find me	2.827	18	0
work #optimism	2.827	18	0
ve gone	2.827	18	0
play in	2.827	18	0
faith ,	2.827	18	0
great weekend	2.827	18	0
car and	2.827	18	0
all is	2.827	18	0
alarm set	2.827	18	0
exactly what	2.827	18	0
lets just	2.827	18	0
still alive	2.827	18	0
aiming for	2.827	18	0
amazing !	2.827	18	0
yesterday !	2.827	18	0
#optimism #2013	2.827	18	0
little better	2.827	18	0
bad after	2.827	18	0
better person	2.827	18	0
always believe	2.827	18	0
good semester	2.827	18	0
#staypositive #optimistic	2.827	18	0
pray for	2.827	18	0
semester #optimistic	2.827	18	0
decided that	2.827	18	0
new york	2.827	18	0
and put	2.827	18	0
new opportunities	2.827	18	0
side :	2.827	18	0
my morning	2.827	18	0
news !	2.827	18	0
felt this	2.77	17	0
on out	2.77	17	0
to save	2.77	17	0
but surely	2.77	17	0
#glasshalffull #optimism	2.77	17	0
you give	2.77	17	0
years #optimistic	2.77	17	0
today feels	2.77	17	0
up every	2.77	17	0
an iphone	2.77	17	0
into your	2.77	17	0
of working	2.77	17	0
manage to	2.77	17	0
than any	2.77	17	0
can give	2.77	17	0
fancy a	2.77	17	0
someday i	2.77	17	0
something #optimistic	2.77	17	0
can actually	2.77	17	0
tried to	2.77	17	0
will b	2.77	17	0
be making	2.77	17	0
all worth	2.77	17	0
#nervous #optimistic	2.77	17	0
that won	2.77	17	0
future has	2.77	17	0
crazy how	2.77	17	0
in place	2.77	17	0
late night	2.77	17	0
with time	2.77	17	0
in 6	2.77	17	0
hopeful that	2.77	17	0
now have	2.77	17	0
work this	2.77	17	0
planned for	2.77	17	0
me if	2.77	17	0
ill find	2.77	17	0
coming #optimistic	2.77	17	0
win on	2.77	17	0
that matters	2.77	17	0
morning but	2.77	17	0
im hoping	2.77	17	0
it keeps	2.77	17	0
#optimistic #motivated	2.77	17	0
worst days	2.77	17	0
can play	2.77	17	0
be #optimism	2.77	17	0
my teeth	2.77	17	0
nice day	2.77	17	0
in college	2.77	17	0
next .	2.77	17	0
sure as	2.77	17	0
morning world	2.77	17	0
bright and	2.77	17	0
my coffee	2.77	17	0
bright future	2.77	17	0
be all	2.77	17	0
its way	2.77	17	0
maybe there	2.77	17	0
will ,	2.77	17	0
just came	2.77	17	0
off right	2.77	17	0
perfect ,	2.77	17	0
is possible	2.77	17	0
run #optimistic	2.77	17	0
true #optimistic	2.77	17	0
direction .	2.77	17	0
be happier	2.77	17	0
the air	2.77	17	0
itself out	2.77	17	0
atleast you	2.77	17	0
start getting	2.77	17	0
exam today	2.77	17	0
already have	2.77	17	0
end and	2.77	17	0
and downs	2.77	17	0
turn up	2.77	17	0
new friends	2.77	17	0
shit is	2.77	17	0
this essay	2.77	17	0
half an	2.77	17	0
year we	2.77	17	0
anything can	2.77	17	0
take me	2.77	17	0
little more	2.77	17	0
and learn	2.77	17	0
life as	2.77	17	0
#positivethinking #optimism	2.77	17	0
ton of	2.77	17	0
my sister	2.77	17	0
now its	2.77	17	0
draft pick	2.77	17	0
still hope	2.77	17	0
on tomorrow	2.77	17	0
final #optimistic	2.77	17	0
#2013 #optimistic	2.77	17	0
anyway #optimistic	2.77	17	0
believe i	2.77	17	0
you start	2.77	17	0
was such	2.77	17	0
will #optimistic	2.77	17	0
it tomorrow	2.71	16	0
person in	2.71	16	0
you be	2.71	16	0
you hit	2.71	16	0
comes back	2.71	16	0
maybe even	2.71	16	0
summer will	2.71	16	0
just glad	2.71	16	0
but up	2.71	16	0
off with	2.71	16	0
ever #optimistic	2.71	16	0
be ready	2.71	16	0
this mean	2.71	16	0
following me	2.71	16	0
gets a	2.71	16	0
tomorrow could	2.71	16	0
been through	2.71	16	0
what !	2.71	16	0
pretty great	2.71	16	0
from last	2.71	16	0
face #optimistic	2.71	16	0
if everything	2.71	16	0
feel great	2.71	16	0
my bitch	2.71	16	0
on #optimism	2.71	16	0
new attitude	2.71	16	0
fun #optimistic	2.71	16	0
as hard	2.71	16	0
every bad	2.71	16	0
my hand	2.71	16	0
getting me	2.71	16	0
brighter day	2.71	16	0
care of	2.71	16	0
#optimism #goodvibes	2.71	16	0
hitting rock	2.71	16	0
be made	2.71	16	0
maybe she	2.71	16	0
playoffs .	2.71	16	0
the rainbow	2.71	16	0
end #optimism	2.71	16	0
on today	2.71	16	0
will continue	2.71	16	0
#optimism #believe	2.71	16	0
can sleep	2.71	16	0
